Num,Review,,,,
45,"Ash, 08 Jan 2018bbc news!!!!!!It's amazing how you can't still read articles in full. Because if you did, you'd already know that one of those issues (the most vulnerable on) is already patched out by Apple. The ""extremely hard to exploit"" one has not been patched yet, and according to Apple next updates will patch it out too.",,,,
46,"Anonymous, 06 Jan 2018This is like a Sony fanboy saying that their cameras are the best because they deliver the ima... moreExactly The media this is another example of personell preference. Some people prefer Vibrant colors some don't, 4K isn't that obvious on such small devices, e.g. on a tv easily noticeable difference, but on phones nah, just a waste of battery. Wars are pointless it's all about personell preference I'm a Samsung fan but I also like my sister's iPhone 7+ people need to grow up and ""Get Real""",,,,
47,"TheSandakelum, 07 Jan 2018And your source is...?bbc news!!!!!!",,,,
48,"JayC, 07 Jan 2018Hurray! Iphone X user here! It is the best phone there is in the market... People come here to... moreJust so you know, apple doesn't calibrate the screens at all. Samsung does. Samsung is making every single iPhone X display.
",,,,
49,"kobresia, 07 Jan 2018as I tell you. overpriced piece with samsung display and sony camera and taiwan made precessor... moreThat?s why I posted about Sony xz  cz I know. Please read my post again. Cz your telling me about camera from Sony, display from Samsung and etc other source.....  I only post what I know on Sony xz about their battery really sucks and easily heat up on gaming. ",,,,
50,"kobresia, 07 Jan 2018as I tell you. overpriced piece with samsung display and sony camera and taiwan made precessor... more 
""Sony?s Xperia XZ Premium is unworthy of its name 
No matter how shiny you polish it up, this phone doesn?t live up to its price and epithet""
 
Score 5.5/10

https://www.theverge.com/phone-review/2017/8/24/?6182832/sony-xperia-xz-premium-review-price 
 
So which one was the overpriced one? ;)

",,,,
51,"kobresia, 07 Jan 2018I am very good at math. dont worry. I think you have problems. with yourself and foxconn phone. Still I feel sorry for you because you couldn't basically count or compare FPSs.",,,,
52,"All the iPhone x haters are just jealous! N can not afford one period. I'm a Samsung s8 user n if I wanted to spend that kind of money on a phone I would definitely have the iPhone x or Note 8. 
 
I love the Biest B.S. these iPhone haters have to say I don't think their is such a strong hatred towards any company in any industry sush as this. It can only be jealously. Other wise they would keep quiet n use their Samsung instead of wasting their time on a iPhone x forum. (I'm a S8 user currently n I love both companies) ",,,,
53,"TheSandakelum, 07 Jan 2018OMG, you must be failing at maths...
I feel so sorry for you...I am very good at math. dont worry. I think you have problems. with yourself and foxconn phone. ",,,,
54,"Anonymous, 06 Jan 2018TECHNOLOGY giant Apple has confirmed all iPhones, iPads, Mac computers, and even its Apple TV ... moreAnd your source is...?",,,,
55,"Anonymous, 06 Jan 2018Not about past, its about ease of use!!! No home button is a pain. Id take iphone 8/7 over X a... morePlease go back to your 90' era cave.",,,,
56,"Roooka, 06 Jan 2018To who says that Samsung has never had face sensor,  look at the specifications of samsung meg... moreYour so called ""face sensors"" are one thing (ancient Samsung), and advanced biometric dot projected face recognition is another thing (modern Apple).",,,,
57,"kobresia, 06 Jan 2018did you know iphone has sony sensor and samsung display. my friend just bought iphone x and I ... moreOMG, you must be failing at maths... 
I feel so sorry for you...",,,,
58,"Ken, 06 Jan 2018Ohhh? Sony batteries are sucks..... playing games easily heat up. I hope your friend willing t... moreas I tell you. overpriced piece with samsung display and sony camera and taiwan made precessor fromTSMC. Apple cant do nothing without asians. XZ premium has no heating problem. dont talk if you dont know. And if apple would like to have 960 fps they will need sony again. ",,,,
59,"JayC, 07 Jan 2018Hurray! Iphone X user here! It is the best phone there is in the market... People come here to... more""People come here to complain about the price and throw negative things about the phone and yet they donÂÂ?t have one!""
 
Story of Apple, iPhone X is great phone indeed, couldn't be happier, beat all my expectations. Amazing display, speed, camera, face ID, new gestures and more.",,,,
60,"Sohom, 06 Jan 2018Best Apple iPhone ever manufactured...its simply d best ....many people will criticise....its ... moreHurray! Iphone X user here! It is the best phone there is in the market... People come here to complain about the price and throw negative things about the phone and yet they don?t have one! Iphone X display is the best and far more appealing than the oversaturated amoled phones of samsung. Apple is aware about the cons of amoled that?s why  they calibrated their iphone x display not to suffer from burn in. Evreything else is great! Battery life, the gestures and performace and face ID plus tons of quality apps. Top notch is not an issue for me in fact I like it a lot cause it separates the X from all other smartphones.. Cheers! :D",,,,
61,"kobresia, 06 Jan 2018did you know iphone has sony sensor and samsung display. my friend just bought iphone x and I ... moreOhhh? Sony batteries are sucks..... playing games easily heat up. I hope your friend willing to swap his iPhone X with Sony xz cz I?ll buy him one, purposely, I want his iPhone X!",,,,
62,Best Apple iPhone ever manufactured...its simply d best ....many people will criticise....its natural...grapes r sour ...who bothers ...iPhone X ...d gold standard ,,,,
63,"Anonymous, 06 Jan 2018This is like a Sony fanboy saying that their cameras are the best because they deliver the ima... moredid you know iphone has sony sensor and samsung display. my friend just bought iphone x and I own xz premium. we tested camera, games. he was dissapointed. ",,,,
64,"To who says that Samsung has never had face sensor,  look at the specifications of samsung mega2015. ",,,,
